ID bloco	Classificação Spider	Id enunciado	Base/paráfrase	Consulta em inglês	Statement em SQL gerado pelo humano	Consulta em português no domínio de declaração de viagem internacional	Consulta em inglês no domínio de declaração de viagem internacional	Domínio/valor/genérica	Comentários	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional	Statement em SQL gerado pelo humano no domínio de declaração de viagem internacional (português)	Revisão do SQL (Sara)	Revisado_1	Classificação nível eventos/casos	Classificação projeção	Classificação filtro	Classificação geral	relevância	wh-question	Revisão_1-Thais	Ambiguo	Comentário
2	medium	14	paráfrase	How many activities were updated by the resource 27 and are 'closed'?	(o having na consulta original do aluno está correto? Funciona?)	Quantas execuções de atividades foram atualizadas pelo recurso James e se referem ao 'fim da viagem'?	How many activity performances were updated by the James resource and refer to the 'end trip'?	Valor	 										How			
2	medium	15	paráfrase	How many times has the activity 'closed' been performed by resource 27?	 	Quantas vezes a atividade 'fim da viagem' foi executada pelo recurso James?	How many times was the 'end trip' activity performed by the James resource?	Valor	 										How			
2	medium	16	paráfrase	How many times has the activity named 'closed' been performed by resource 27?	 	Quantas vezes a atividade nomeada 'fim da viagem' foi executada pelo recurso James?	How many times was the activity named 'end trip' performed by the James resource?	Valor	 										How			
2	medium	17	paráfrase	How many events related to activity 'closed' are related to resource 27?	 	Quantos eventos relacionados à atividade 'fim da viagem' estão relacionados ao recurso James?	How many events related to the 'end trip' activity are linked to the James resource?	Valor	 										How			
2	medium	18	paráfrase	How many events related to activity 'closed' are also related to resource 27?	 	Quantos eventos relacionados à atividade 'fim da viagem' estão também relacionados ao recurso James?	How many events related to the 'end trip' activity are also linked to the James resource?	Valor	 										How			
2	medium	19	paráfrase	Inform the number of times the activity named 'closed' was executed by resource 27.	 	Informe o número de vezes que a atividade nomeada 'fim da viagem' foi executada pelo recurso James.	Report the number of times the activity named 'end trip' was performed by the James resource.	Valor	 										None			
2	medium	20	paráfrase	Inform the number of occurrences of activity 'closed' that are associated with resource 27.	 	Informe o número de ocorrências da atividade 'fim da viagem' que estão associadas ao recurso James.	Report the number of occurrences of the 'end trip' activity associated with the James resource.	Valor	 										None			
2	medium	21	paráfrase			Quantas vezes o funcionário James foi o responsável por registrar a finalização de uma viagem?	How many times did the employee James register the finalization of a trip?	Domínio	 										How			
2	medium	22	paráfrase	How many activities do we have that were updated by the resource 27 and that its closed?	SELECT count(*) FROM log1 WHERE activity="Closed" HAVING resource="Updated by 27"	Temos quantas atividades que foram atualizadas por James e que se referem ao final de viagem?	How many activities updated by James refer to the end of a trip?	Domínio	 										How			
																						
3	medium	23	base	What is the number of events executed by each of the resources?	SELECT COUNT(*), resource FROM log2 GROUP BY resource;	Qual é a quantidade de eventos executados por cada um dos recursos?	What is the number of events performed by each of the resources?	Genérica	 	SELECT resource,COUNT(*) FROM events_log GROUP BY resource	SELECT resource,COUNT(*) FROM events_log GROUP BY resource	ok	S	eventos	recursos;agregado	nenhum	estatística descritiva sobre recursos;conformidade	3	What	S	N	
3	medium	24	paráfrase	Show the number of events associated with each resource.	SELECT COUNT(idevent), resource FROM log2 GROUP BY resource;	Mostre a quantidade de eventos associados a cada recurso.	Show the number of events associated with each resource.	Genérica	 										None			
3	medium	25	paráfrase	How many events is each resource associated with?	 	A quantos eventos cada um dos recursos está associado?	How many events is each of the resources associated with?	Genérica											How			
3	medium	26	paráfrase	In how many events did each of the resources act?	 	Em quantos eventos cada um dos recursos atuou?	In how many events did each of the resources act?	Genérica											How			
3	medium	27	paráfrase	Inform the number of events executed by each resource.	 	Informe o número de eventos executados por cada um dos recursos.	Report the number of events performed by each of the resources.	Genérica											None			
3	medium	28	paráfrase	How many times does each resource appear in the event log?	 	Quantas vezes cada um dos recursos aparece no log de eventos?	How many times does each of the resources appear in the event log?	Genérica											How			
3	medium	29	paráfrase	Inform the number of times each resource appears in the event log.	 	Informe o número de vezes que cada um dos recursos aparece no log de eventos.	Report the number of times each of the resources appears in the event log.	Genérica											None			
3	medium	30	paráfrase	Inform how many events each resource is involved in.	 	Informe em quantos eventos cada recurso está envolvido.	Report how many events each resource is involved in.	Genérica											How			
3	medium	31	paráfrase	How many activity executions is each resource involved in?	 	Em quantas execuções de atividades cada recurso está envolvido?	How many activity performances is each resource involved in?	Genérica											How			
3	medium	32	paráfrase	What is the number of executions of activities that each resource is involved in?	 	Qual é a quantidade de execuções de atividades que cada recurso está envolvido?	What is the number of activity performances that each resource is involved in?	Genérica											What			
3	medium	33	paráfrase	Show the number of events each resource has	SELECT COUNT(idevent), resource FROM Gerenciamento de problemas - abertos VOLVO GROUP BY resource;	Quantifique a atuação de cada funcionário em termos de ações realizadas sobre as declarações de viagens.	Quantify the performance of each employee in terms of actions taken on travel declarations.	Domínio											None			
																						
4	easy	34	base	How many events were executed by resource 'Peter'?	SELECT COUNT(idevent) FROM log2 WHERE resource = "Peter"	Quantos eventos foram executados pelo recurso 'Peter'?	How many events were performed by the 'Peter' resource?	Valor		SELECT count(*) FROM events_log WHERE resource = 'Peter'	SELECT count(*) FROM events_log WHERE resource = 'Peter'	ok	S	eventos	agregado;eventos	recurso	estatística descritiva sobre recursos	2	How	S	N	
4	easy	35	paráfrase	How many times has resource 'Peter' performed an activity?	SELECT COUNT(*) FROM log2 WHERE resource = "Peter"	Quantas vezes o recurso 'Peter' executou uma atividade?	How many times has the 'Peter' resource performed an activity?	Valor											How			
4	easy	36	paráfrase	How many times has employee 'Peter' performed an activity?	 	Quantas vezes o funcionário 'Peter' executou uma atividade?	How many times has the employee 'Peter' performed an activity?	Valor											How			
4	easy	37	paráfrase	How many events did employee 'Peter' run?	 	Quantos eventos foram executados pelo funcionário 'Peter'?	How many events were run by the employee 'Peter'?	Valor											How			
4	easy	38	paráfrase	Report the number of times resource 'Peter' was responsible for an activity.	 	Informe o número de vezes em que o recurso 'Peter' foi responsável por uma atividade.	Report the number of times the 'Peter' resource was responsible for an activity.	Valor											None			
4	easy	39	paráfrase	Report the number of times employee 'Peter' was responsible for an activity.	 	Informe o número de vezes em que o funcionário 'Peter' foi responsável por uma atividade.	Report the number of times the employee 'Peter' was responsible for an activity.	Valor											None			
4	easy	40	paráfrase	Show the amount of events that have had Peter as "resource".	SELECT COUNT(idevent) FROM Gerenciamento de problemas - abertos VOLVO WHERE resource = "Peter"	Quantifique a atuação do funcionário Peter em termos de ações realizadas sobre as declarações de viagens.	Quantify the performance of the employee Peter in terms of actions taken on travel declarations.	Domínio											None			
																						
5	no_hardness	41	base	Show all cases that ended in March 2016	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE enddatetime LIKE '2016-03%'	Mostre todos os casos que terminaram em março de 2018.	Show all cases that terminated in March 2018.	Valor		SELECT idcase FROM events_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	SELECT idcase FROM events_log GROUP BY idcase HAVING strftime('%Y-%m', MAX(timestamp)) = '2018-03'	ok	S	casos	casos	timestamp	perspectiva temporal	3	None	S	S	Neste caso, foi aderido a última atividade do caso e verificado se a data está em março de 2018. 
5	no_hardness	42	paráfrase	Show all cases that finalized in March 2016.	(mas o enddatetime é finalização de evento não é? Não é finalização de case)	Mostre todos os casos que finalizaram em março de 2018.	Show all cases that ended in March 2018.	Valor											None			
5	no_hardness	43	paráfrase	Inform the identifier of cases that ended in March 2016.	 	Informe o identificador dos casos que terminaram em março de 2018.	Report the identifier of cases that terminated in March 2018.	Valor											None			
5	no_hardness	44	paráfrase	Inform the identifier for cases that finalized in March 2016.	 	Informe o identificador casos que finalizaram em março de 2018.	Report the identifier for cases that ended in March 2018.	Valor		(terminar não quer dizer ter um tal "ultimo" evento executado e sim exatamente o evento de fim executado)									None			
5	no_hardness	45	paráfrase	Inform the identifier of all cases whose last event occurred in March 2016.	 	Informe o identificador de todos os casos cujo último evento ocorreu em março de 2018.	Report the identifier of all cases whose last event occurred in March 2018.	Valor		(imagine, por exemplo, que a declaração ainda não foi processada totalmente)									None			
5	no_hardness	46	paráfrase	Which cases ended in March 2016?	 	Quais casos terminaram em março de 2018?	Which cases terminated in March 2018?	Valor		(Nesse caso, pensei em buscar a última atividade de todos os casos e verificar se a última atividade do caso termina em março, mas acho que é similar). Somente olhando pelo log não é possível saber o que é atividade fim, o que é possível saber são todas as úlitmas atividades de todos os casos).									Which			
5	no_hardness	47	paráfrase	Which cases finalized in March 2016?	 	Quais casos finalizaram em março de 2018?	Which cases ended in March 2018?	Valor		(Ok, vamos fazer essa ressalva na documentação/artigo do conjunto de dados dizendo que consideramos o que está registrado no log como o caso inteiro para execução da consulta). 									Which			
5	no_hardness	48	paráfrase			Quais declarações finalizaram em março de 2018?	Which declarations ended in March 2018?	Domínio											Which			
																						
6	medium	49	base	Show all cases that passed through the activity "open" , except those where the activity was performed by "resource" 804.	 	Mostre todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Show all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Valor		SELECT DISTINCT idcase FROM events_log WHERE activity = 'Declaration rejected by pre-approver' AND resource != 'Douglas'	SELECT DISTINCT idcase FROM events_log WHERE activity = 'Declaração rejeitada pelo pré-aprovador' AND resource != 'Douglas'	ok	S	casos	casos	atividade;recurso	perspectiva de fluxo de controle;perspectiva de recurso	2	None	S	N	
6	medium	50	paráfrase	Show identifiers of cases that passed through the activity "open", except those where the activity was performed by "resource" 804.	 	Mostre os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Show the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Valor											None			
6	medium	51	paráfrase		 	Mostre todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi realizada pelo recurso Douglas.	Show all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was carried out by the Douglas resource.	Valor											None			
6	medium	52	paráfrase		 	Mostre os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Show the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was carried out by the Douglas resource.	Valor											None			
6	medium	53	paráfrase	Inform the identifiers of cases that went through the activity "open", except those in which the activity was performed by "resource" 804.	 	Informe os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Report the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Valor											None			
6	medium	54	paráfrase	Retrieve the identifiers of the cases that passed through the activity "open", except those where the activity was performed by "resource" 804.	 	Recupere os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	Retrieve the identifiers of cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by Douglas 'resource'.	Valor											None			
6	medium	55	paráfrase	List the identifiers of cases that went through the activity "open", except those where the activity was performed by "resource" 804.	 	Liste os identificadores dos casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo 'recurso' Douglas.	List the identifiers of the cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas 'resource'.	Valor											None			
6	medium	56	paráfrase	List all cases that passed through the activity "open", except those where the activity was performed by resource 804.	 	Liste todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	List all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Valor											None			
6	medium	57	paráfrase	Report all cases that went through the activity "open", except those where the activity was performed by resource 804.	 	Informe todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Report all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Valor											None			
6	medium	58	paráfrase	Retrieve all cases that passed through the activity "open", except those where the activity was performed by resource 804.	 	Recupere todos os casos que passaram pela atividade 'declaração rejeitada pelo pré-aprovador', exceto aqueles em que a atividade foi executada pelo recurso Douglas.	Retrieve all cases that went through the 'declaration rejected by pre-approver' activity, except those in which the activity was performed by the Douglas resource.	Valor											None			
6	medium	59	paráfrase	In which cases was the activity "open" not performed by resource 804?	 	Em quais casos a atividade 'declaração rejeitada pelo pré-aprovador' não foi executada pelo recurso Douglas?	In which cases was the 'declaration rejected by pre-approver' activity not performed by the Douglas resource?	Valor											Which			
6	medium	60	paráfrase	Which cases were not opened by the resource 804?	 	Quais declarações foram rejeitadas por um pré-aprovador diferente do Douglas?	Which declarations were rejected by a pre-approver other than Douglas?	Domínio											Which			
6	medium	61	paráfrase	Show cases that have been opened, except those that have been opened by "resource" 804	SELECT DISTINCT idcase FROM Gerenciamento de incidentes WHERE activity = "New" EXCEPT SELECT idcase FROM Gerenciamento de incidentes WHERE resource = "Updated by 804"	Mostre todas as declarações rejeitas pelo pré-aprovador que não seja o Douglas.	Show all declarations rejected by the pre-approver other than Douglas.	Domínio											None			
																						
7	easy	62	base	How many different resources are there in the event log?	SELECT COUNT(DISTINCT resource) FROM log5	Quantos recursos diferente existem no log de eventos?	How many different resources are there in the event log?	Genérica		SELECT COUNT(DISTINCT resource) FROM events_log	SELECT COUNT(DISTINCT resource) FROM events_log	ok	S	eventos	recursos;agregado	nenhum	estatística descritiva sobre recursos	2	How	S	N	
7	easy	63	paráfrase	How many distinct resources are there in the event log?		Quantos recursos distintos existem no log de eventos?	How many distinct resources are there in the event log?	Genérica											How			
7	easy	64	paráfrase	How many resources are in the event log?		Quantas recursos existem no log de eventos?	How many resources are there in the event log?	Genérica											How			
7	easy	65	paráfrase	How many different people performed activities?		Quantas pessoas diferentes executaram atividades?	How many different people performed activities?	Genérica											How			
7	easy	66	paráfrase	How many different resources are there in the log?	SELECT COUNT(DISTINCT resource) AS n_resources FROM volvo	Quantos recursos diferentes existem no log?	How many different resources are there in the log?	Genérica											How			
7	easy	67	paráfrase	How many different people appear in the event log?		Quantas pessoas diferentes aparecem no log de eventos?	How many different people appear in the event log?	Genérica											How			
7	easy	68	paráfrase	Report how many different resources performed activities.		Informe quantos recursos diferentes executaram atividades.	Report how many different resources performed activities.	Genérica											How			
7	easy	69	paráfrase	How many different resources appear in the event log?		Quantos recursos diferentes aparecem no log de eventos?	How many different resources appear in the event log?	Genérica											How			
7	easy	70	paráfrase	How many different resources performed activities?		Quantos recursos diferentes executaram atividades?	How many different resources performed activities?	Genérica											How			
7	easy	71	paráfrase	Report how many different resources there are in the event log.		Informe quantos recursos diferentes existem no log de eventos.	Report how many different resources there are in the event log.	Genérica											How			
7	easy	72	paráfrase	Report how many different people appear in the event log.		Informe quantas pessoas diferentes aparecem no log de eventos.	Report how many different people appear in the event log.	Genérica											How			
7	easy	73	paráfrase	How many different people have appeared in the event log?		Informe quanto funcionários se envolveram no processamento das declarações	Report how many employees were involved in processing the declarations.	Domínio											How			
7	easy	74	paráfrase	How many different people have performed activities?		Quantos funcionários atuaram no processamento das declarações?	How many employees worked on processing the declarations?	Domínio											How			
																						
8	medium	75	base	What is the total of events related to each feature?	SELECT resource, COUNT(resource) AS n_events_by_resource FROM volvo GROUP BY resource	Qual é o total de eventos relacionado a cada recurso?	What is the total number of events related to each resource?	Genérica		SELECT COUNT(*), resource FROM events_log GROUP BY resource	SELECT COUNT(*), resource FROM events_log GROUP BY resource	ok	S	eventos	recursos;agregado	nenhum	estatística descritiva sobre recursos	3	What	S	N	Repetido 2669, no entanto inverti o resultado do select para adequar ao enunciado
8	medium	76	paráfrase	What is the total number of events each resource has worked on?		Qual é o total de eventos em que cada recurso trabalhou?	What is the total number of events each resource worked on?	Genérica											What			
8	medium	77	paráfrase	What is the total number of events each resource has been involved in?	 	Qual é o total de eventos em que cada recurso esteve envolvido?	What is the total number of events in which each resource was involved?	Genérica											What			
8	medium	78	paráfrase	What is the total of events related to each resource?	SELECT resource, COUNT(idevent) AS n_events_by_resource FROM volvo GROUP BY resource	Qual é o total de ações executadas por cada funcionário durante o processamento das declarações?	What is the total number of actions performed by each employee during the processing of the declarations?	Domínio			 								What			
																						
9	easy	79	base	What are the idcase and idevent where the cost is greater than 10,000?	 	Quais são os casos com eventos de custos maiores que 2.225?	What are the cases with cost events greater than 2,225?	Valor		SELECT DISTINCT idcase FROM events_log WHERE cost > 2225	SELECT DISTINCT idcase FROM events_log WHERE cost > 2225	ok	S	casos	casos	custo	perspectiva de custo;conformidade	2	What	S	S	Todos os eventos precisam ser maior que o parâmetro de custo ou apenas um.
9	easy	80	paráfrase	Inform the identifiers of the cases and their respective indentifiers of events that have costs greater than 10,000	 	Informe os identificadores dos casos que possuem eventos com custos maiores que 2.225.	Report the identifiers of cases that have events with costs greater than 2,225.	Valor			 								None			
9	easy	81	paráfrase	What are the cases associated with events that have a cost greater than 10,000	SELECT ALL idcase FROM justica WHERE costevent > value;	Quais são os casos associados a eventos que possuem um custo maior que 2.225?	What are the cases associated with events that cost more than 2,225?	Valor			 								What			
9	easy	82	paráfrase	What are the idcase and idevent where the cost is greater than a certain value?	SELECT ALL idcase, idevent FROM justica WHERE costevent > value;	Quais declarações estão associadas a ações que custaram mais do que 2.225?	Which declarations are associated with actions that cost more than 2,225?	Domínio			 								Which			
9	easy	83	paráfrase	What are the idcase and idevent in which the cost is greater than 10,000?	 	Informe o identificador de declarações em que alguma ação teve um custo maior do que 2.225.	Report the identifier of declarations in which any action had a cost greater than 2,225.	Domínio			 								None			
																						
10	hard	84	base	Which resource participated in the highest number of events?	 	Quais recursos participaram de mais eventos?	Which resources participated in the most events?	Genérica		SELECT resource FROM events_log GROUP BY resource HAVING COUNT(*) = (SELECT COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1) 	SELECT resource FROM events_log GROUP BY resource HAVING COUNT(*) = (SELECT COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1) 	ok	S	eventos	recursos	agregado	estatística descritiva sobre recursos	3	Which	S	N	Utilizei a pergunta no plural que consulta os recursos que executaram a maior quantidade de eventos, pois podem existir mais de um. No entanto, tem muitos eventos com valor 'Undefined' que podemos filtrar diferentes desse valor 'Undefined'.
10	hard	85	paráfrase	(the most não me parece ser uma boa tradução porque remete à ideia de maioria)	(a solicitação de consulta perguntais quais e não quantos - para ter uma consulta com quantos precisa mudar a solicitação para qual recurso e quantos foram os eventos)	Quais recursos mais tiveram eventos relacionados?	Which resources had the most related events?	Genérica											Which			Entendi sua observação e será bom deixamos algumas observações no próprio conjunto de dados. Porém, a questão de filtrar o "undefined" não deve ser considerada, a menos que nós tivéssemos especificado no enunciado.
10	hard	86	paráfrase	What resources had the highest number of events related with them?	(além disso não teríamos a ordenação. Eu criei uma nova consulta para atender a esse SQL - abaixo)	Quais recursos tiveram a maior quantidade de eventos relacionados?	Which resources had the greatest number of related events?	Genérica											Which			
10	hard	87	paráfrase	What resources were related to the highest number of events?	precisa resolver essa consulta sem reportar o count e pegar o top ou o max do count	Quais recursos se relacionaram à maior quantidade de eventos?	What resources were related to the greatest number of events?	Genérica											What			
10	hard	88	paráfrase	Which resource was responsible for executing the highest number of events?	 	Quais recursos foram responsáveis pela execução de mais eventos?	Which resources were responsible for executing the most events?	Genérica											Which			
10	hard	89	paráfrase		 	Quais recursos foram responsáveis pela execução do maior número de eventos?	Which resources were responsible for executing the greatest number of events?	Genérica											Which			
10	hard	90	paráfrase	What were the resources that had the most events?	SELECT resource, COUNT(resource) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;	Quais foram os recursos que tiveram mais eventos relacionados?	Which were the resources that had the most related events?	Genérica											Which			
10	hard	91	paráfrase		 	Quais recursos participaram do maior número de eventos?	Which resources participated in the greatest number of events?	Genérica											Which			
10	hard	92	paráfrase	Which resource related to the highest number of events?	 	Quais recursos se relacionaram com mais eventos?	Which resources were related to the most events?	Genérica											Which			
10	hard	93	paráfrase		  	Quais recursos se relacionaram com o maior número de eventos?	Which resources were related to the greatest number of events?	Genérica											Which			
10	hard	94	paráfrase			Quais são os funcionários que mais trabalham durante o processamento das declarações?	Which employees work the most during the processing of declarations?	Domínio											Which			
																						
11	extra	95	base	What resource were related to the highest number of events, and how many events is they related to?	precisa resolver essa consulta pegando o top ou o max do count	Quais recursos estão relacionados a mais eventos e a quantos eventos eles estão relacionados?	Which resources are related to most events and how many events are they related to?	Genérica		SELECT resource, COUNT(*) FROM events_log GROUP BY resource HAVING COUNT(*) = (SELECT COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1) 	SELECT resource, COUNT(*) FROM events_log GROUP BY resource HAVING COUNT(*) = (SELECT COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC LIMIT 1) 	ok	S	eventos	recursos;agregado	agregado	estatística descritiva sobre recursos	3	Which;How	S	N	Permaneceu no plural.Tem muitos eventos com valor 'Undefined' que podemos filtrar diferentes desse valor 'Undefined'.
11	extra	96	paráfrase	 	 	Quais recursos estão relacionados com o maior número de eventos e a quantos eventos eles estão relacionados?	Which resources are related to the greatest number of events and how many events are they related to?	Genérica											Which;How			
11	extra	97	paráfrase	Which resource related to the events the most and how many events did they relate to?	 	Quais recursos mais se relacionaram a eventos e a quantos eventos eles se relacionaram?	Which resources were most related to events and how many events were they related to?	Genérica											Which;How			
11	extra	98	paráfrase	Which resource was responsible for running the highest number of events and how many events were under your responsibility?	 	Quais foram os recursos responsáveis pela execução de mais eventos e quantos eventos ficaram sob suas responsabilidades?	Which resources were responsible for executing more events and how many events were under their responsibility?	Genérica											Which;How			
11	extra	99	paráfrase	 	 	Quais foram os recursos responsáveis pela execução do maior número de eventos e quantos eventos ficaram sob suas responsabilidades?	What resources were responsible for executing the greatest number of events and how many events were under their responsibility?	Genérica											What;How			
11	extra	100	paráfrase	Which resource participated in the highest number of events and how many are those events?	 	Quais recursos participaram de mais eventos e quantos são esses eventos?	Which resources participated in the most events and how many events are there?	Genérica											Which;How			
11	extra	101	paráfrase	 	 	Quais recursos participaram do maior número de eventos e quantos foram são esses eventos?	Which resources participated in the greatest number of events and how many events were there?	Genérica											Which;How			
11	extra	102	paráfrase			Quem são os funcionários mais produtivos e em quantas vezes eles atuaram nas declarações já registradas?	Who are the most productive employees and how many times did they act on the declarations already registered?	Domínio											Who;How			
																						
12	extra	103	base	List all resources and how many events each is related to, in descending order of number of events.	SELECT resource, COUNT(*) as n_events FROM justica GROUP BY resource ORDER BY n_events DESC;	Liste todos os recursos e a quantos eventos cada um está relacionado, em ordem decrescente em relação ao número de eventos.	List all resources and how many events each one is related to, in descending order of the number of events.	Genérica		SELECT resource, COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC	SELECT resource, COUNT(*) FROM events_log GROUP BY resource ORDER BY COUNT(*) DESC	ok	S	eventos	recursos;agregado	nenhum	estatística descritiva sobre recursos;conformidade	3	Which;How	S	N	Similar a 2669 e 2674, no entanto esta explicitamente solicita a ordenação em ordem descrescente
12	extra	104	paráfrase	List all the resources accompanied by how many events each one is related to and sort the answer in descending order of number of events.	 	Liste todos os rescursos acompanhado de quantos eventos cada uma está relacionado e ordene a resposta por ordem descrescente no número de eventos.	List all resources accompanied by how many events each one is related to and sort the answer in descending order by number of events.	Genérica														
12	extra	105	paráfrase	List all resources and the number of events under the responsibility of each one. Sort the answer in descending order in relation to the number of events.	 	Liste todos os rescursos e a quantidade de eventos sob responsabilidade de cada um. Ordene a resposta por ordem descrescente em relação ao número de eventos.	List all resources and the number of events each is responsible for. Sort the answer in descending order in relation to the number of events.	Genérica											None			
12	extra	106	paráfrase	List all resources and how many events each resource participated in. Sort the answer in descending order considering the number of events.	 	Liste todos os rescursos e em quantos eventos cada recurso participou. Ordene a resposta de forma descrescente considerando a quantidade de eventos.	List all resources and how many events each resource participated in. Sort the answer in descending order considering the number of events.	Genérica														
